movie_id,genre_id
879,14
879,35
879,10751
881,18
884,18
884,53
888,14
888,35
888,10751
901,18
901,35
901,10749
903,18
903,80
907,18
907,10749
907,10752
914,35
914,10752
916,28
916,53
916,80
920,12
920,16
920,35
920,10751
921,18
921,36
921,10749
923,27
923,878
924,27
924,878
926,12
926,35
926,878
927,14
927,27
927,35
929,28
929,53
929,878
935,35
935,10752
938,37
941,28
941,53
941,80
942,28
942,53
942,80
943,28
943,53
943,80
944,28
944,53
944,80
947,12
947,36
947,10752
948,27
948,53
949,18
949,28
949,80
950,12
950,16
950,35
950,10751
953,12
953,16
953,35
953,10751
954,12
954,28
954,53
955,12
955,28
955,53
956,12
956,28
956,53
957,35
957,878
966,12
966,28
966,37
967,12
967,18
967,36
967,10752
968,18
968,53
968,80
975,18
975,10752
978,12
978,18
978,36
979,18
979,53
979,80
984,28
984,53
984,80
1018,18
1018,53
1018,9648
1073,18
1073,53
1073,80
1073,9648
1089,28
1089,53
1089,80
1090,53
1090,878
1090,9648
1091,27
1091,878
1091,9648
1103,28
1103,53
1103,878
1124,18
1124,878
1124,9648
1164,18
1213,18
1213,53
1213,80
1246,18
1250,14
1250,28
1250,53
1255,18
1255,27
1255,878
1265,12
1265,18
1265,10751
1267,12
1267,16
1267,35
1267,878
1267,10751
1268,35
1268,10751
1271,12
1271,28
1271,10752
1272,53
1272,878
1273,12
1273,16
1273,35
1273,10751
1278,18
1278,10749
1281,12
1281,35
1281,10751
1359,18
1359,53
1359,80
1364,18
1364,10749
1366,18
1367,18
1368,12
1368,28
1368,53
1368,10752
1369,12
1369,28
1369,53
1369,10752
1370,12
1370,28
1370,53
1370,10752
1371,18
1371,28
1372,18
1372,28
1372,53
1374,18
1375,18
1378,18
1378,35
1378,10749
1391,18
1391,10749
1396,18
1396,36
1398,18
1398,878
1402,18
1412,18
1417,14
1417,18
1417,10752
1422,18
1422,53
1422,80
1427,14
1427,18
1427,80
1428,28
1428,37
1428,53
1428,80
1430,18
1430,99
1440,18
1440,10749
